,train,val
0,0.013415939,0.009415993
1,0.009126158,0.008902388
2,0.008667137,0.008408129
3,0.008423977,0.008297351
4,0.0082053235,0.008097533
5,0.008033539,0.007942235
6,0.007860055,0.007788693
7,0.0076850555,0.007629376
8,0.0075108125,0.007470131
9,0.0073368074,0.007306015
10,0.0071611935,0.0071452092
11,0.0069829687,0.0069817966
12,0.006804969,0.0068149464
13,0.006632519,0.0066511417
14,0.006482822,0.006503502
15,0.006378443,0.006432385
16,0.0063559646,0.00645434
17,0.0064280825,0.006500489
18,0.0064546256,0.006455819
19,0.0062863054,0.006225869
20,0.0060626906,0.005999228
21,0.0059207343,0.0058880686
22,0.005841657,0.005815051
23,0.005780162,0.0057698656
24,0.0057448503,0.0057733166
25,0.005679217,0.0058251405
26,0.0056435326,0.0056944704
27,0.005652236,0.0055807
28,0.0055969427,0.0056810305
29,0.0055311234,0.0054799924
30,0.005468671,0.0054842033
31,0.0053522633,0.005399303
32,0.0053087594,0.005266511
33,0.005214603,0.0052597276
34,0.0051670186,0.0051408894
35,0.0051141256,0.005187808
36,0.0050754813,0.005083387
37,0.0050534434,0.005080252
38,0.0050128037,0.0050484226
39,0.004995804,0.005002836
40,0.0049425596,0.004999183
41,0.004917342,0.004926803
42,0.004893215,0.004928506
43,0.004851518,0.004868555
44,0.004835806,0.0048368652
45,0.004804502,0.004864608
46,0.004786132,0.004787865
47,0.0047769425,0.004797863
48,0.00476489,0.0047726734
49,0.004794246,0.004879976
50,0.004883073,0.005342128
51,0.0053107115,0.0051629907
52,0.005159797,0.004765918
53,0.0047317296,0.004723656
54,0.004561485,0.0045506526
55,0.004500519,0.0045533264
56,0.0044711013,0.004496594
57,0.0044554914,0.0044962764
58,0.0044535114,0.00449494
59,0.0044707195,0.004523224
60,0.0044800974,0.004513897
61,0.0044955662,0.00454226
62,0.0045022084,0.004531784
63,0.0044955006,0.0045184633
64,0.0044629667,0.004473122
65,0.004446265,0.0044752555
66,0.0044195666,0.0044391723
67,0.004389617,0.0044251583
68,0.004373593,0.0044132276
69,0.0043643485,0.004383371
70,0.0043443814,0.0043687145
71,0.0043368735,0.004387065
72,0.0043307575,0.004351735
73,0.0043325573,0.0043417905
74,0.00432103,0.0043946644
75,0.0043252306,0.004381776
76,0.004335679,0.004329674
77,0.004349034,0.004388733
78,0.0043409322,0.004396613
79,0.004357062,0.004330267
80,0.004330554,0.004445983
81,0.004331028,0.0043076426
82,0.004333291,0.004377991
83,0.004295873,0.004311026
84,0.004309872,0.0043453593
85,0.0043088095,0.004322296
86,0.0043244674,0.0044107893
87,0.0043447018,0.00437094
88,0.004374064,0.004345849
89,0.0044157677,0.0046431706
90,0.0043550516,0.004292217
91,0.004302326,0.0042109317
92,0.0041965423,0.0041957633
93,0.0041581155,0.004180612
94,0.0041185003,0.004177399
95,0.004113211,0.004116009
96,0.004104363,0.004152308
97,0.0041112355,0.0041256975
98,0.004099597,0.0041684527
99,0.004112762,0.0041206214
